City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather Description
0,Tiksi,RU,71.6872,128.8694,-11.99,93,100,13.42,overcast clouds
1,Yumen,CN,40.2833,97.2,23.23,42,100,12.37,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,75.22,69,0,14.97,clear sky
3,Jamestown,US,42.097,-79.2353,49.32,65,100,12.66,overcast clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,75,5.75,broken clouds
5,Talnakh,RU,69.4865,88.3972,-5.8,98,100,11.01,light snow
6,Pangai,TO,-19.8,-174.35,82.51,74,20,9.22,few clouds
7,Vaini,TO,-21.2,-175.2,82.56,89,20,9.22,few clouds
8,Punta Arenas,CL,-53.15,-70.9167,51.91,50,75,31.07,broken clouds
9,Coihaique,CL,-45.5752,-72.0662,66.81,30,40,10.36,scattered clouds
10,Dhidhdhoo,MV,6.8833,73.1,81.0,74,100,9.06,overcast clouds
11,Mogadishu,SO,2.0371,45.3438,77.63,81,100,23.02,overcast clouds
12,Svetlyy,RU,54.675,20.1347,42.85,92,100,20.07,overcast clouds
13,Aniva,RU,46.7144,142.5294,-5.69,94,48,5.99,scattered clouds
14,Atuona,PF,-9.8,-139.0333,78.1,78,23,17.98,few clouds
15,Kapaa,US,22.0752,-159.319,78.12,71,0,10.36,clear sky
16,Luderitz,NA,-26.6481,15.1594,77.0,46,9,18.01,clear sky
17,San Giuseppe Jato,IT,37.9734,13.1881,48.47,38,0,4.18,clear sky
18,Mahebourg,MU,-20.4081,57.7,75.49,88,75,9.22,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,78.89,67,0,16.22,clear sky
20,Ixtapa,MX,20.7,-105.2,76.23,53,0,8.05,clear sky
21,Labuhan,ID,-6.8844,112.2051,76.95,89,100,8.61,moderate rain
22,Hornepayne,CA,49.2138,-84.7705,29.37,93,100,2.62,light snow
23,New Norfolk,AU,-42.7826,147.0587,60.3,66,83,3.0,broken clouds
24,Beringovskiy,RU,63.05,179.3167,-20.87,88,12,7.05,few clouds
25,Rocha,UY,-34.4833,-54.3333,74.34,54,9,12.28,clear sky
26,Dikson,RU,73.5069,80.5464,0.88,95,99,22.3,overcast clouds
27,Dingle,PH,10.9995,122.6711,72.99,90,68,8.16,broken clouds
28,Ushuaia,AR,-54.8,-68.3,55.02,46,75,17.27,broken clouds
29,Esperance,AU,-33.8667,121.9,60.64,86,12,8.34,few clouds
30,Ust-Nera,RU,64.5667,143.2,-30.87,99,60,4.59,broken clouds
31,Mataura,NZ,-46.1927,168.8643,59.49,99,100,0.36,overcast clouds
32,Quelimane,MZ,-17.8786,36.8883,80.55,83,0,4.61,clear sky
33,Bastrop,US,32.7562,-91.8724,68.43,34,0,3.0,clear sky
34,Busselton,AU,-33.65,115.3333,59.09,72,6,10.69,clear sky
35,Nara,JP,34.6851,135.8049,40.28,67,100,1.95,overcast clouds
36,Sitka,US,57.0531,-135.33,46.29,87,100,13.8,moderate rain
37,Hobart,AU,-42.8794,147.3294,60.66,78,75,8.05,broken clouds
38,Castro,BR,-24.7911,-50.0119,73.56,66,4,2.39,clear sky
39,Plettenberg Bay,ZA,-34.0527,23.3716,65.88,78,0,6.15,clear sky
40,Puerto Ayora,EC,-0.7393,-90.3518,82.36,76,66,9.31,broken clouds
41,Gat,IL,31.61,34.7642,54.28,100,14,18.48,few clouds
42,Lahat,ID,-3.8,103.5333,71.64,83,100,2.17,light rain
43,Huarmey,PE,-10.0681,-78.1522,75.04,70,100,9.44,overcast clouds
44,Galle,LK,6.0367,80.217,77.83,76,97,4.76,overcast clouds
45,Zapolyarnyy,RU,69.4154,30.8136,24.08,95,92,9.89,overcast clouds
46,Mindelo,CV,16.8901,-24.9804,76.55,44,0,10.36,clear sky
47,Avarua,CK,-21.2078,-159.775,82.45,74,20,9.22,few clouds
48,Padang,ID,-0.9492,100.3543,74.88,66,100,8.37,overcast clouds
49,Norman Wells,CA,65.282,-126.8329,-7.56,59,100,18.41,overcast clouds
50,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,10.36,few clouds
51,Port Alfred,ZA,-33.5906,26.891,67.66,85,3,7.58,clear sky
52,Bilibino,RU,68.0546,166.4372,-35.57,100,87,0.76,overcast clouds
53,Ampanihy,MG,-24.7,44.75,73.29,81,0,4.52,clear sky
54,Pizhanka,RU,57.4604,48.542,27.7,98,100,6.17,snow
55,Hilo,US,19.7297,-155.09,74.93,75,40,6.91,scattered clouds
56,Cherskiy,RU,68.75,161.3,-45.29,100,82,4.05,broken clouds
57,Winneba,GH,5.3511,-0.6231,79.68,84,3,8.16,clear sky
58,Butembo,CD,0.15,29.2833,65.03,54,95,2.51,overcast clouds
59,Qaanaaq,GL,77.484,-69.3632,-21.57,79,99,4.68,overcast clouds
60,Batticaloa,LK,7.7102,81.6924,76.84,82,100,7.16,overcast clouds
61,Albany,US,42.6001,-73.9662,44.55,56,24,3.0,few clouds
62,Awjilah,LY,29.1081,21.2869,55.9,42,57,11.01,broken clouds
63,Hermanus,ZA,-34.4187,19.2345,68.9,91,40,8.88,scattered clouds
64,Kahului,US,20.8947,-156.47,79.86,57,20,11.01,few clouds
65,Ilulissat,GL,69.2167,-51.1,12.76,78,100,9.8,overcast clouds
66,Avera,US,33.194,-82.5271,62.74,33,0,7.09,clear sky
67,Beloha,MG,-25.1667,45.05,73.38,85,0,4.43,clear sky
68,Yellowknife,CA,62.456,-114.3525,-7.58,78,100,10.36,light snow
